"index","alcohol","category","country","description","designation","price","rating","region","subregion","title","url","varietal","vintage","winery"
"4823","12.5","Sparkling","France","There are already indications of fine maturity in this wine. Yeast and toasty flavors mingle with the crisp acidity and ripe stewed apricots and apple to give richness. It also has the nervy acidity that is typical of Alfred Gratien Champagnes, which will allow the wine to age further.","Brut Millésimé","90","94","Champagne","Champagne","Alfred Gratien 2005 Brut Millésimé  (Champagne)","https://www.winemag.com/buying-guide/alfred-gratien-2005-brut-millesime-champagne/","Champagne Blend","2005","Alfred Gratien"
"4824","12","Sparkling","France","Old vines and barrel fermentation have produced a singularly rich wine. Smooth, creamy and ripe with a predominance of Chardonnay, it has loads of yellow fruit reined in with plenty of acidity and crisp texture. Now just mature, it's ready to drink.","Art de Vigne Brut","84","93","Champagne","Champagne","Jacques Picard 2005 Art de Vigne Brut  (Champagne)","https://www.winemag.com/buying-guide/jacques-picard-2005-art-de-vigne-brut-champagne/","Champagne Blend","2005","Jacques Picard"
"4825","12","Sparkling","France","This is one of a collection of Champagnes tasted and approved by a group of growers under the Special Club label. With a predominance of Chardonnay, it's still crisp and fruity, showing rich apple and pear flavors. Its citrusy acidity gives it lift, slowing any signs of maturity. It will continue to age gracefully but is delicious now.","Special Club Brut","56","93","Champagne","Champagne","Charlier & Fils 2005 Special Club Brut  (Champagne)","https://www.winemag.com/buying-guide/charlier-fils-2005-special-club-brut-champagne/","Champagne Blend","2005","Charlier & Fils"
"4826","12.5","Sparkling","France","This Champagne is beautifully mature, its ripe fruit and soft texture magnified by toast and yeast. Rich and full bodied, its fine acidity keeps it in great condition. With a crisp aftertaste that gives it a delicious lift, it's ready to drink now.","Dom Pérignon Brut Rosé","380","95","Champagne","Champagne","Moët & Chandon 2005 Dom Pérignon Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/moet-chandon-2005-dom-perignon-brut-rose-champagne/","Champagne Blend","2005","Moët & Chandon"
"4827","12","Sparkling","France","This is ripe Chardonnay, maybe missing the more typical minerality but making up for it with the ripe apple and apricot fruits. The wine is now showing some good age while still retaining a fresh character. With its hints of almonds and vanilla, it balances fruit and maturity. Drink now.","Blanc de Blancs Millésime Brut","96","93","Champagne","Champagne","Jean Laurent 2005 Blanc de Blancs Millésime Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/jean-laurent-2005-blanc-de-blancs-millesime-brut-chardonnay-champagne/","Chardonnay","2005","Jean Laurent"
"4828","12","Sparkling","France","A pale gold color leads into a wine that is mature and rich. The fruits have mellowed into almond and spice, with attractive acidity, while the ripe texture remains. The balance is just right in a wine that is generous and full in the mouth. Drink now.","Blanc de Noirs Millésimé Brut","93","92","Champagne","Champagne","Jean Laurent 2005 Blanc de Noirs Millésimé Brut Pinot Noir (Champagne)","https://www.winemag.com/buying-guide/jean-laurent-2005-blanc-de-noirs-millesime-brut-pinot-noir-champagne/","Pinot Noir","2005","Jean Laurent"
"4829","13","Sparkling","France","This wine is mature, ripe and perfectly ready to drink. With hints of toast mingling with minerality and tangy acidity, it is a balanced, delicious wine full of rich flavors. The acidity has softened while keeping the tension of pure Chardonnay from the Côte des Blancs. Drink now. Gonet uses this label for the American market.","Grand Cru Blanc de Blancs Brut","105","93","Champagne","Champagne","Charles-Gilbert de Vindé 2005 Grand Cru Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/charles-gilbert-de-vinde-2005-grand-cru-blanc-de-blancs-brut-chardonnay-champagne/","Chardonnay","2005","Charles-Gilbert de Vindé"
"4830","12","Sparkling","France","Still young, this wine is showing structure and a dense texture as well as tight fruitiness. It's a blend of one-third of each of Champagne's principal grapes, giving good balance and intense acidity. The low dosage has made the wine dry without losing a ripe, full character. Drink from 2017.","Millésime Premier Cru Extra Brut","64","93","Champagne","Champagne","Lelarge-Pugeot 2005 Millésime Premier Cru Extra Brut  (Champagne)","https://www.winemag.com/buying-guide/lelarge-pugeot-2005-millesime-premier-cru-extra-brut-champagne/","Champagne Blend","2005","Lelarge-Pugeot"
"4831","12.5","Sparkling","France","With some age, this is a gloriously ripe and toasty wine. It has a rich character emphasized by the round texture and the creamy mousse. It also has great concentration, bringing together acidity as well as dense secondary flavors. With its rich, mature character, it is best suited for food. It is ready to drink, but will hold well through 2025.","Dom Pérignon Brut","170","95","Champagne","Champagne","Moët & Chandon 2005 Dom Pérignon Brut  (Champagne)","https://www.winemag.com/buying-guide/moet-chandon-2005-dom-perignon-brut-sparkling-champagne/","Champagne Blend","2005","Moët & Chandon"
"4832","12.5","Sparkling","France","With 49% Chardonnay and 51% Pinot Noir from grand cru vineyards, this well-balanced wine is just coming into its best years. Crisp and dry, following the Lanson style of no malolactic fermentation, the wine is full of white fruits, citrus and hints of toast, based around a tangy, mineral texture. Drink now and until 2025.","Gold Label Brut Vintage","90","94","Champagne","Champagne","Lanson 2005 Gold Label Brut Vintage  (Champagne)","https://www.winemag.com/buying-guide/lanson-2005-gold-label-brut-vintage-sparkling-champagne/","Champagne Blend","2005","Lanson"
"4833","12","Sparkling","France","A shallot-skin-colored wine, this has ripe red berry fruits and a soft texture. It is attractively on the way to maturity, with hints of toast coming through the acidity and rounded character at the end. The wine is ready to drink.","Brut Rosé Vintage","68","89","Champagne","Champagne","Joseph Perrier 2005 Brut Rosé Vintage  (Champagne)","https://www.winemag.com/buying-guide/joseph-perrier-2005-brut-rose-vintage-sparkling-champagne/","Champagne Blend","2005","Joseph Perrier"
"4834","12","Sparkling","France","A soft style of Blanc de Blancs, rounded as much as crisp, this is an attractively ripe and fruity wine. Apple and grapefruit flavors are filled out with perfumed acidity and a lively, fresh aftertaste. Drink now.","Blanc de Blancs Millésimé Brut","72","88","Champagne","Champagne","Chassenay d'Arce 2005 Blanc de Blancs Millésimé Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/chassenay-darce-2005-blanc-blancs-millesime-brut-chardonnay-champagne/","Chardonnay","2005","Chassenay d'Arce"
"4835","12","Sparkling","France","This well-balanced wine is both rich and tightly fresh and crisp. It's aromatic from the steely Chardonnay that treads a fine line between generous fruit and great minerality. The wine is just reaching its peak with touches of toast beginning to develop. Drink now through 2019.","Brut Prestige","70","92","Champagne","Champagne","Charles Ellner 2005 Brut Prestige  (Champagne)","https://www.winemag.com/buying-guide/charles-ellner-2005-brut-prestige-sparkling-champagne/","Champagne Blend","2005","Charles Ellner"
"4836","12.5","Sparkling","France","The palest of Rosés, this crisp, bright and fruity wine is full of tight acidity, freshly picked raspberries and steely acidity. It could age a few more years to bring out a toastier character. The specially designed bottle has a hummingbird etched on the inside and gold on the outside.","Belle Epoque Brut Rosé","300","95","Champagne","Champagne","Perrier Jouët 2005 Belle Epoque Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/perrier-jouet-2005-belle-epoque-brut-rose-sparkling-champagne/","Champagne Blend","2005","Perrier Jouët"
"4837","12","Sparkling","France","This is just showing hints of maturing. For now, the texture is tangy, zesty with a bite of minerality from the chalk soil of the Chardonnay vineyards. It will develop further in bottle, giving a crisp Champagne with a delicious bite at the end.","Grand Cru Blanc de Blancs Millesimé Brut","66","94","Champagne","Champagne","Drappier 2005 Grand Cru Blanc de Blancs Millesimé Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/drappier-2005-grand-cru-blanc-blancs-millesime-brut-chardonnay-champagne/","Chardonnay","2005","Drappier"
"4838","12","Sparkling","France","Still very young, this holds great potential. Rich, full-bodied and densely structured, it is a wine first, sparkling second. Ripe apple and peach flavors partner with a strongly mineral texture. It needs to age more in bottle, so drink from 2016.","Brut Millésimé","125","95","Champagne","Champagne","Charles Heidsieck 2005 Brut Millésimé  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-2005-brut-millesime-sparkling-champagne/","Champagne Blend","2005","Charles Heidsieck"
"4839","12","Sparkling","France","Now reaching its peak, this vintage of Ayala's top quality prestige Cuvée is ripe, full-bodied and rounded. It has the hallmark dryness of the house although it has been softened by aging and given elegance and style. It's totally ready to drink.","Cuvée Perle d'Ayala Millesimé Brut","175","93","Champagne","Champagne","Ayala 2005 Cuvée Perle d'Ayala Millesimé Brut  (Champagne)","https://www.winemag.com/buying-guide/ayala-2005-cuvee-perle-dayala-millesime-brut-sparkling-champagne/","Champagne Blend","2005","Ayala"
"4840","12","Sparkling","France","Goutorbe is a member of the Spécial Club grouping of grower producers, which tastes and approves each other's special Cuvée. This 2005, with its ripe fruits and the beginnings of bottle age, is a worthy member. It has delicious apple and white peach fruits, lively acidity and a texture that is moving towards toastiness. The wine is ready to drink.","Spécial Club Grand Cru Brut","92","92","Champagne","Champagne","Henri Goutorbe 2005 Spécial Club Grand Cru Brut  (Champagne)","https://www.winemag.com/buying-guide/henri-goutorbe-2005-special-club-grand-cru-brut-sparkling-champagne/","Champagne Blend","2005","Henri Goutorbe"
"4841","12.5","Sparkling","France","With just a touch of bottle age giving a toasty character, this impressive wine is already showing some maturity. That said, the apple and citrus character, the mineral tight texture and crisp acidity promise some aging. The wine conveys a sense of elegance, intensity and richness. Drink now, but the wine will also age.","Comtes de Champagne Blanc de Blancs Brut","170","95","Champagne","Champagne","Taittinger 2005 Comtes de Champagne Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/taittinger-2005-comtes-champagne-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","2005","Taittinger"
"4842","12","Sparkling","France","A beautifully balanced wine that exudes elegance as well as richness. It is drier than previous vintages of Cristal Rosé, yielding a bright, crisp and layered wine. Red fruits are married with orange zest and tight acidity. It can be drunk now, but it is a young wine and will certainly age well through 2022.","Cristal Brut Rosé","595","96","Champagne","Champagne","Louis Roederer 2005 Cristal Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/louis-roederer-2005-cristal-brut-rose-sparkling-champagne/","Champagne Blend","2005","Louis Roederer"
"4843","12","Sparkling","France","Fermented in 225-liter barrels, this is a rich, full-flavored wine touched with hints of toast and brisk acidity. The palate is weighty, but there's a crisp, dry fruit quality on the palate. Still youthful, it's not quite integrated yet, so keep until 2016.","Cuvée 225 Millesimé Brut","90","91","Champagne","Champagne","Nicolas Feuillatte 2005 Cuvée 225 Millesimé Brut  (Champagne)","https://www.winemag.com/buying-guide/nicolas-feuillatte-2005-cuvee-225-millesime-brut-sparkling-champagne/","Champagne Blend","2005","Nicolas Feuillatte"
"4844","12.5","Sparkling","France","This is a rich, full-bodied Champagne, with hints of toast and wood flavors, balanced with a citrus acidity. There's a warm feel to this complex wine that will certainly age well.","Millésime","50","93","Champagne","Champagne","H. Blin 2005 Millésime  (Champagne)","https://www.winemag.com/buying-guide/h-blin-2005-millesime-sparkling-champagne/","Champagne Blend","2005","H. Blin"
"4845","12","Sparkling","France","Pale pink in color, this is a full, fruity wine that's aromatic in character. The red fruits are topped with citrus and bright acidity, as well as signs of maturity, giving a toasty character. The wine is rich and ready to drink.","Tsarine Millésime Brut Rosé","75","91","Champagne","Champagne","Chanoine 2005 Tsarine Millésime Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/chanoine-2005-tsarine-millesime-brut-rose-sparkling-champagne/","Champagne Blend","2005","Chanoine"
"4846","12","Sparkling","France","While full and ripe in style, this wine is also quite dry. It's packed with crisp, youthful fruits, along with an intensely mineral texture that penetrates deep on the palate. Apple and lime juice pierce through the finish. Drink through 2021.","Cuvée Spéciale Brut Millesimé","75","91","Champagne","Champagne","Nicolas Feuillatte 2005 Cuvée Spéciale Brut Millesimé  (Champagne)","https://www.winemag.com/buying-guide/nicolas-feuillatte-2005-cuvee-speciale-brut-millesime-sparkling-champagne/","Champagne Blend","2005","Nicolas Feuillatte"
"4847","12","Sparkling","France","This is a soft wine that has a cotton-candy sweetness. It's fruity with strong strawberry flavor and only a light touch of acidity.","Palmes d'Or Vintage Brut Rosé","200","84","Champagne","Champagne","Nicolas Feuillatte 2005 Palmes d'Or Vintage Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/nicolas-feuillatte-2005-palmes-dor-vintage-brut-rose-sparkling-champagne/","Champagne Blend","2005","Nicolas Feuillatte"
"4848","12","Sparkling","France","A pure, clean mineral-driven Champagne. It's very crisp, with a chalky texture, flavors of green apples and tight acidity. It's one of those Champagnes that needs time in the glass, because as it opens the flavors become more complex, bringing out yellow fruits as well as the underlying citrus.","Extra Blanc de Blancs Brut","65","91","Champagne","Champagne","Jean-Noël Haton 2005 Extra Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/jean-noel-haton-2005-extra-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","2005","Jean-Noël Haton"
"4849","12.5","Sparkling","France","An attractively ripe and mature wine with a great balance between the orangy citrus fruits and a tight, taut, mineral texture. The wine is rich in its dosage and fruitiness while showing signs of maturer toast and almond flavors. However, it could still age.","Clos des Bouveries Brut","75","92","Champagne","Champagne","Duval-Leroy 2005 Clos des Bouveries Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/duval-leroy-2005-clos-bouveries-brut-chardonnay-champagne/","Chardonnay","2005","Duval-Leroy"
"4850","12","Sparkling","France","From one of Champagne's less ageworthy vintages, this is already deliciously drinkable. It has fine acidity that cuts through the mineral texture, shaping the rounded fruitiness. It's dry and crisp at the end. Drink now and over the next 4-5 years.","Noble Vintage  Millésime Brut","70","90","Champagne","Champagne","Jean-Noël Haton 2005 Noble Vintage  Millésime Brut  (Champagne)","https://www.winemag.com/buying-guide/jean-noel-haton-2005-noble-vintage-millesime-brut-sparkling-champagne/","Champagne Blend","2005","Jean-Noël Haton"
"4851","12.5","Sparkling","France","A soft, rich wine with delicious flavors of pear and red apples, lifted by pineapple acidity. It is ripe, but still young, with touches of yeast and almond. It will age well over the medium-term.","Blanc de Blancs Brut Millesimé","70","90","Champagne","Champagne","Duval-Leroy 2005 Blanc de Blancs Brut Millesimé Chardonnay (Champagne)","https://www.winemag.com/buying-guide/duval-leroy-2005-blanc-blancs-brut-millesime-chardonnay-champagne/","Chardonnay","2005","Duval-Leroy"
"4852","12","Sparkling","France","The iconic Roederer Champagne, Cristal's latest release, brings a perfect balance of richness and age worthiness. It is full of apple flavor, and the mousse is very fine and almost imperceptible. As so often with a beautifully blended wine like this, a few minutes breathing brings out extra complex flavors. It certainly should age over five years and more.","Cristal Brut","249","97","Champagne","Champagne","Louis Roederer 2005 Cristal Brut  (Champagne)","https://www.winemag.com/buying-guide/louis-roederer-2005-cristal-brut-sparkling-champagne/","Champagne Blend","2005","Louis Roederer"
"4853","12.5","Sparkling","France","The extra age on this bone-dry wine has paid off, as the taut character of a young wine has been tempered with toast, creating a round feeling. It is perfectly in harmony now, beautiful and crisp.","Oenophile Premier Cru Blanc de Blancs Extra Brut","72","92","Champagne","Champagne","Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/pierre-gimonnet-fils-2005-oenophile-premier-cru-blanc-blancs-extra-brut-chardonnay-champagne/","Chardonnay","2005","Pierre Gimonnet et Fils"
"4854","12.5","Sparkling","France","The Spécial Club is a grouping of Champagne producers who taste each other's wines before allowing them to be released under this label. With its pure expression of mineral-driven, tense Chardonnay, this is made in a dry style. It's fragrant, fruity and ready to age for several years.","Spécial Club Premier Cru Blanc de Blancs Brut","85","94","Champagne","Champagne","Pierre Gimonnet et Fils 2005 Spécial Club Premier Cru Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/pierre-gimonnet-fils-2005-special-club-premier-cru-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","2005","Pierre Gimonnet et Fils"
"4855","12","Sparkling","France","While 2005 is not a great vintage in Champagne, in the right hands, as here, it can produce some fine wines. This is beautifully balanced, a contrast between soft fruit and a touch of maturity. It is not a wine for long aging, and will be completely ready in a year.","Spécial Club Brut","74","93","Champagne","Champagne","Gaston Chiquet 2005 Spécial Club Brut  (Champagne)","https://www.winemag.com/buying-guide/gaston-chiquet-2005-special-club-brut-sparkling-champagne/","Champagne Blend","2005","Gaston Chiquet"
"4856","12.5","Sparkling","France","One of Aubry's two Champagnes from relatively rare grape varieties, this is a full-throated wine, replete with ripe fruit. Full bodied and rich, it has weight and intensity. Its yellow fruit is laced with complex acidity from citrus.","Le Nombre d'Or Brut","63","90","Champagne","Champagne","Aubry 2005 Le Nombre d'Or Brut  (Champagne)","https://www.winemag.com/buying-guide/aubry-2005-le-nombre-dor-brut-sparkling-champagne/","Champagne Blend","2005","Aubry"
"4857","12.5","Sparkling","France","While the style is soft, full of yellow fruit richness, the wine also show an excellent concentrated texture. The fresh fruit is integrated into this more complex style. The aftertaste shows some softness, but the wine can certainly age for several years.","Grand Cru Brut","92","91","Champagne","Champagne","Lallier 2005 Grand Cru Brut  (Champagne)","https://www.winemag.com/buying-guide/lallier-2005-grand-cru-brut-sparkling-champagne/","Champagne Blend","2005","Lallier"
"4858","12","Sparkling","France","Full-bodied Champagne that feels rich with its pear and apricot juice flavors. It has weight, an apple skin texture and a soft, creamy aftertaste. It would be worth aging for a few more years.","Brut Saphir","60","90","Champagne","Champagne","Louis Barthélémy 2005 Brut Saphir  (Champagne)","https://www.winemag.com/buying-guide/louis-barthelemy-2005-brut-saphir-sparkling-champagne/","Champagne Blend","2005","Louis Barthélémy"
"4859",NULL,"Sparkling","France","A blend from all the top vineyards owned by the Gimonnet family, with a high proportion of Grand Cru. It has power and concentration as well as great ripeness. Very full-bodied, with a low dosage, this is dry, the richness coming from the fruit.","Fleuron Brut Premier Cru Blanc de Blancs","72","92","Champagne","Champagne","Pierre Gimonnet et Fils 2005 Fleuron Brut Premier Cru Blanc de Blancs Chardonnay (Champagne)","https://www.winemag.com/buying-guide/pierre-gimonnet-fils-2005-fleuron-brut-premier-cru-blanc-blancs-chardonnay-champagne/","Chardonnay","2005","Pierre Gimonnet et Fils"
"4860","12","Sparkling","France","The top Cuvée from this fine cooperative is rich, dominated by Pinot Noir to give a full-bodied feel. Fruit flavors of ripe apple and pink grapefruit give sophistication, along with toast and yeast. Worth aging for 4-5 years, but delicious now.","L'Air Brut","78","92","Champagne","Champagne","Mailly Grand Cru 2005 L'Air Brut  (Champagne)","https://www.winemag.com/buying-guide/mailly-grand-cru-2005-lair-brut-sparkling-champagne/","Champagne Blend","2005","Mailly Grand Cru"
"4861","12","Sparkling","France","A deceptively soft Champagne. The initial attack is rounded with a delicious pear flavor, but definitely soft. Then tight mineral acidity adds its presence, producing a wine that is also very fresh, apple crisp, with a potential for aging and a long lingering aftertaste.","Blanc de Blancs Brut","75","92","Champagne","Champagne","Louis Roederer 2005 Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/louis-roederer-2005-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","2005","Louis Roederer"
"4862","12","Sparkling","France","Smooth, creamy wine, showing some good, rich, white fruits. It is soft, with ripe apple and lime juice flavors and vivid and balanced acidity. Attractive, ready-to-drink Champagne.","Millésime Brut","50","88","Champagne","Champagne","Charles de Cazanove 2005 Millésime Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-cazanove-2005-millesime-brut-sparkling-champagne/","Champagne Blend","2005","Charles de Cazanove"
"4863","12","Sparkling","France","Still young, this round and textured Champagne has great apple and citrus flavors. It is tightly drawn with a great line of acidity, some toast and the purest light final touch of fruit. Age for 4-5 years and more.","Brut Cuvée Tradition","35","88","Champagne","Champagne","Vollereaux 2005 Brut Cuvée Tradition  (Champagne)","https://www.winemag.com/buying-guide/vollereaux-2005-brut-cuvee-tradition-sparkling-champagne/","Champagne Blend","2005","Vollereaux"
"4864","12","Sparkling","France","There is some bitterness to this wine, with almond and quince flavors. Caramel and soft fruitiness lead to a more creamy character. Not for aging.","Gold Top Brut","50","86","Champagne","Champagne","Heidsieck & Co Monopole 2005 Gold Top Brut  (Champagne)","https://www.winemag.com/buying-guide/heidsieck-co-monopole-2005-gold-top-brut-sparkling-champagne/","Champagne Blend","2005","Heidsieck & Co Monopole"
"4865","12","Sparkling","France","A superbly rich and creamy wine, powered by ripe Pinot Noir, with elegance and élan. The wine is concentrated, powerful, packed with intense white fruit flavors and citrus. For aging.","Millésime Brut","70","95","Champagne","Champagne","Louis Roederer 2005 Millésime Brut  (Champagne)","https://www.winemag.com/buying-guide/louis-roederer-2005-millesime-brut-sparkling-champagne/","Champagne Blend","2005","Louis Roederer"
"4866","12","Sparkling","France","This is a crisp, high-wire-walking wine, just so poised. Its youthful red fruits, laced with citrus, taste so fresh, with a strawberry bite. At this stage, it is intensely enjoyable as young Champagne, but it does need to age for several years.","Rosé Brut","67","94","Champagne","Champagne","Louis Roederer 2005 Rosé Brut  (Champagne)","https://www.winemag.com/buying-guide/louis-roederer-2005-rose-brut-sparkling-champagne/","Champagne Blend","2005","Louis Roederer"
"4867","12","Sparkling","France","Literally timeless, L'Intemporelle is an elegant, almost discreet style. It downplays the rich fruit to present a stylish wine, with citrus highlights over ripe yellow fruit. This 2005 is still young; age for 3-4 years.","L'Intemporelle Brut","80","91","Champagne","Champagne","Mailly Grand Cru 2005 L'Intemporelle Brut  (Champagne)","https://www.winemag.com/buying-guide/mailly-grand-cru-2005-lintemporelle-brut-sparkling-champagne/","Champagne Blend","2005","Mailly Grand Cru"
"4868","12","Sparkling","France","To age an extra brut vintage before release is a great idea. It leaves a wine that hints at toasty aromas as well as still-crisp fruitiness. The apple and pear flavors are filled out by the tangy edge and the hints of maturity to come. Drink this fine vintage now.","Le Vintage Premier Cru Extra Brut","67","93","Champagne","Champagne","J. Dumangin Fils 2005 Le Vintage Premier Cru Extra Brut  (Champagne)","https://www.winemag.com/buying-guide/j-dumangin-fils-2005-le-vintage-premier-cru-extra-brut-champagne/","Champagne Blend","2005","J. Dumangin Fils"
"4869","12.5","Sparkling","France","Les Meslaines is the name of the parcel of Pinot Noir that produces this Blanc de Noirs. It has richness, a ripe character with fresh apricot flavors, a Champagne that has the weight of a wine. It could do with bottle age, but for freshness drink now.","Les Meslaines Grand Cru Brut","67","92","Champagne","Champagne","Lamiable 2005 Les Meslaines Grand Cru Brut Pinot Noir (Champagne)","https://www.winemag.com/buying-guide/lamiable-2005-meslaines-grand-cru-brut-pinot-noir-champagne/","Pinot Noir","2005","Lamiable"
"4870","12","Sparkling","France","It's a shame to release this wine so young, because its constituents are individually impressive. It will need a few years for the acidity to come together with the ripe melon and grapefruit flavors, the soft texture and the bright vivid character.","Brut","69","92","Champagne","Champagne","Deutz 2005 Brut  (Champagne)","https://www.winemag.com/buying-guide/deutz-2005-brut-sparkling-champagne/","Champagne Blend","2005","Deutz"
"4871","12","Sparkling","France","Following the elegant Deutz tradition, this wine has a character that is light as a feather, but still anchored into vivid red fruits and tight acidity, leavened by a softness. The final taste is soft, but well integrated.","Rosé Brut","85","90","Champagne","Champagne","Deutz 2005 Rosé Brut  (Champagne)","https://www.winemag.com/buying-guide/deutz-2005-rose-brut-sparkling-champagne/","Champagne Blend","2005","Deutz"
"4875","12.5","Sparkling","France","A pretty and remarkably drinkable sparkler with soft green apple, tangerine oil and faint yellow floral notes accented with hints of lavender. There's medium carbonation and weight in the mouth, and pear and apple flavors abound with suggestions of honeydew in the finish. Drink now.","Brut","14","89","Languedoc-Roussillon","Blanquette de Limoux","Saint-Hilaire 2005 Brut Sparkling (Blanquette de Limoux)","https://www.winemag.com/buying-guide/saint-hilaire-2005-brut-sparkling-blanquette-limoux/","Sparkling Blend","2005","Saint-Hilaire"
"4876","12.5","Sparkling","France","This is a crisp, dry sparkler with notes of red apple, carnation and cereal followed by flavors of peach pit and lime acidity in the highly carbonated mouth. Ends on a smooth, bright citrus-inflused finish.","Blanc de Blancs Extra Dry","14","87","Languedoc-Roussillon","Blanquette de Limoux","Saint-Hilaire 2005 Blanc de Blancs Extra Dry Sparkling (Blanquette de Limoux)","https://www.winemag.com/buying-guide/saint-hilaire-2005-blanc-blancs-extra-dry-sparkling-blanquette-limoux/","Sparkling Blend","2005","Saint-Hilaire"
"4877","12.5","Sparkling","France","Hints of sherry and nuttiness come through on the nose, along with notes of ripe Granny Smith apple and citrus resin. The mouth shows a bit more ripeness by way of sweet nectarine slices and tangerine citrus. The moderate acidity keeps the sweetness from going over the top.","Semi-Sweet","14","85","Languedoc-Roussillon","Blanquette de Limoux","Saint-Hilaire 2005 Semi-Sweet Sparkling (Blanquette de Limoux)","https://www.winemag.com/buying-guide/saint-hilaire-2005-semi-sweet-sparkling-blanquette-limoux/","Sparkling Blend","2005","Saint-Hilaire"
"5150",NULL,"Sparkling","France","A fine, clean and intense sparkling wine, with excellent acidity and bright lemon and apple notes.","Pétillant","30","88","Loire Valley","Vouvray","Domaine Huët 2005 Pétillant  (Vouvray)","https://www.winemag.com/buying-guide/domaine-huet-2005-petillant-chenin-blanc-vouvray/","Chenin Blanc","2005","Domaine Huët"
"5151","12","Sparkling","France","One of the best sparkling Vouvrays, this 2005 vintage has an extra richness from the year. It has the mineral, chalky edge of Chenin Blanc, but this is rounded out with pear, white peach and sweet almond flavors. Good to drink now, but also worth aging for 2-3 years.","Cuvée Prédilection Brut","19","91","Loire Valley","Vouvray","Château Moncontour 2005 Cuvée Prédilection Brut  (Vouvray)","https://www.winemag.com/buying-guide/chateau-moncontour-2005-cuvee-predilection-brut-chenin-blanc-vouvray/","Chenin Blanc","2005","Château Moncontour"
"5153","12","Sparkling","France","A balanced, ripe wine, packed with pear skins, green apples and cream. It is delicate, with its acidity acting as a fresh, clean blast through the bubbles. Ends with that same freshness.","Tête de Cuvée","18","88","Loire Valley","Vouvray","Château Moncontour 2005 Tête de Cuvée  (Vouvray)","https://www.winemag.com/buying-guide/chateau-moncontour-2005-tete-cuvee-chenin-blanc-vouvray/","Chenin Blanc","2005","Château Moncontour"
"5791","12","Sparkling","France","This is a serious wine that shows great quality, structure and dense flavors. Packed with apple, citrus and hints of toastiness, it is rich, steely and ageworthy. The finish brings both freshness and a good depth of flavor. Drink now-2020.","No 39 Blanc de Blancs Brut","60","91","Burgundy","Crémant de Bourgogne","JCB 2006 No 39 Blanc de Blancs Brut  (Crémant de Bourgogne)","https://www.winemag.com/buying-guide/jcb-2006-no-39-blanc-blancs-brut-sparkling-cremant-bourgogne/","Sparkling Blend","2006","JCB"
"5908","12.5","Sparkling","France","This low-production wine comes from a small Chardonnay vineyard in the Côte des Blancs. It shows the beauty of mature Chardonnay, with the minerality totally subsumed by the richness and elegance of the texture. It's ready to drink now.","Vigne aux Gamins","150","94","Champagne","Champagne","Thiénot 2006 Vigne aux Gamins Chardonnay (Champagne)","https://www.winemag.com/buying-guide/thienot-2006-vigne-aux-gamins-chardonnay-champagne/","Chardonnay","2006","Thiénot"
"5909","12.5","Sparkling","France","Named after the founder of the house, Nicolas François Billecart (who married Elisabeth Salmon), this wine is now at its peak. It is poised between fresh apple fruits and broader, riper maturity. This balance gives a ripe wine hinting at toast and almonds while still with a dry aftertaste. Drink now, although in 2019 it will be even better.","Cuvée Nicolas François Brut","170","95","Champagne","Champagne","Billecart-Salmon 2006 Cuvée Nicolas François Brut  (Champagne)","https://www.winemag.com/buying-guide/billecart-salmon-2006-cuvee-nicolas-francois-brut-champagne-301987/","Champagne Blend","2006","Billecart-Salmon"
"5910","12.5","Sparkling","France","With grapes coming from the Chardonnay heartland of the Côte des Blancs, this wine is the epitome of structured, textured fruit but with the essential addition of age. Still hinting at freshness and still textured, the wine is also rich with white-fruit flavors cut with limes. Drink from 2020.","Cuvée Louis Brut Blanc de Blancs","180","96","Champagne","Champagne","Billecart-Salmon 2006 Cuvée Louis Brut Blanc de Blancs Chardonnay (Champagne)","https://www.winemag.com/buying-guide/billecart-salmon-2006-cuvee-louis-brut-blanc-de-blancs-chardonnay-champagne-301988/","Chardonnay","2006","Billecart-Salmon"
