Type of Wine,Descriptor ,Descriptor Count,How Often Descriptor Appears
French Chardonnay - 80-84 Points,oak ,11,4%
French Chardonnay - 80-84 Points,orange ,11,4%
French Chardonnay - 80-84 Points,full ,10,4%
French Chardonnay - 80-84 Points,apples ,10,4%
French Chardonnay - 80-84 Points,dilute ,10,4%
French Chardonnay - 80-84 Points,tight ,10,4%
French Chardonnay - 80-84 Points,freshness ,10,4%
French Chardonnay - 80-84 Points,bitter ,9,3%
French Chardonnay - 80-84 Points,tart ,9,3%
French Chardonnay - 80-84 Points,smooth ,9,3%
French Chardonnay - 80-84 Points,rich ,9,3%
French Chardonnay - 80-84 Points,lacks ,9,3%
French Chardonnay - 80-84 Points,fruitiness ,9,3%
French Chardonnay - 80-84 Points,grapefruit ,8,3%
French Chardonnay - 80-84 Points,lean ,8,3%
French Chardonnay - 80-84 Points,caramel ,8,3%
French Chardonnay - 80-84 Points,mineral ,8,3%
French Chardonnay - 80-84 Points,heavy ,8,3%
French Chardonnay - 80-84 Points,tropical ,8,3%
French Chardonnay - 80-84 Points,warm ,8,3%
,,,
French Chardonnay - 85-89 Points,ripe ,723,42%
French Chardonnay - 85-89 Points,crisp ,523,31%
French Chardonnay - 85-89 Points,apple ,407,24%
French Chardonnay - 85-89 Points,soft ,378,22%
French Chardonnay - 85-89 Points,citrus ,378,22%
French Chardonnay - 85-89 Points,rich ,362,21%
French Chardonnay - 85-89 Points,fresh ,358,21%
French Chardonnay - 85-89 Points,ready ,325,19%
French Chardonnay - 85-89 Points,fruity ,320,19%
French Chardonnay - 85-89 Points,light ,283,17%
French Chardonnay - 85-89 Points,attractive ,283,17%
French Chardonnay - 85-89 Points,full ,277,16%
French Chardonnay - 85-89 Points,mineral ,248,15%
French Chardonnay - 85-89 Points,pear ,242,14%
French Chardonnay - 85-89 Points,bright ,212,12%
French Chardonnay - 85-89 Points,creamy ,203,12%
French Chardonnay - 85-89 Points,green ,199,12%
French Chardonnay - 85-89 Points,spice ,197,12%
French Chardonnay - 85-89 Points,rounded ,189,11%
French Chardonnay - 85-89 Points,toast ,176,10%
French Chardonnay - 85-89 Points,smooth ,165,10%
French Chardonnay - 85-89 Points,peach ,160,9%
French Chardonnay - 85-89 Points,good ,155,9%
French Chardonnay - 85-89 Points,lemon ,155,9%
French Chardonnay - 85-89 Points,minerality ,150,9%
French Chardonnay - 85-89 Points,tight ,146,9%
French Chardonnay - 85-89 Points,balanced ,138,8%
French Chardonnay - 85-89 Points,warm ,132,8%
French Chardonnay - 85-89 Points,delicious ,127,7%
French Chardonnay - 85-89 Points,tangy ,125,7%
French Chardonnay - 85-89 Points,lively ,118,7%
French Chardonnay - 85-89 Points,apricot ,118,7%
French Chardonnay - 85-89 Points,textured ,115,7%
French Chardonnay - 85-89 Points,refreshing ,111,7%
French Chardonnay - 85-89 Points,structure ,111,7%
French Chardonnay - 85-89 Points,vanilla ,110,6%
French Chardonnay - 85-89 Points,richness ,106,6%
French Chardonnay - 85-89 Points,fruitiness ,105,6%
French Chardonnay - 85-89 Points,toasty ,102,6%
French Chardonnay - 85-89 Points,generous ,96,6%
French Chardonnay - 85-89 Points,freshness ,92,5%
French Chardonnay - 85-89 Points,great ,91,5%
French Chardonnay - 85-89 Points,apples ,87,5%
French Chardonnay - 85-89 Points,round ,85,5%
French Chardonnay - 85-89 Points,young ,85,5%
French Chardonnay - 85-89 Points,balance ,84,5%
French Chardonnay - 85-89 Points,weight ,80,5%
French Chardonnay - 85-89 Points,steely ,75,4%
French Chardonnay - 85-89 Points,lime ,73,4%
French Chardonnay - 85-89 Points,clean ,72,4%
,,,
French Chardonnay - 90-94 Points,ripe ,689,51%
French Chardonnay - 90-94 Points,rich ,543,40%
French Chardonnay - 90-94 Points,crisp ,308,23%
French Chardonnay - 90-94 Points,mineral ,302,22%
French Chardonnay - 90-94 Points,full ,287,21%
French Chardonnay - 90-94 Points,toast ,267,20%
French Chardonnay - 90-94 Points,spice ,248,18%
French Chardonnay - 90-94 Points,citrus ,246,18%
French Chardonnay - 90-94 Points,tight ,234,17%
French Chardonnay - 90-94 Points,minerality ,211,16%
French Chardonnay - 90-94 Points,richness ,203,15%
French Chardonnay - 90-94 Points,structure ,203,15%
French Chardonnay - 90-94 Points,apple ,197,15%
French Chardonnay - 90-94 Points,great ,173,13%
French Chardonnay - 90-94 Points,green ,167,12%
French Chardonnay - 90-94 Points,generous ,165,12%
French Chardonnay - 90-94 Points,fresh ,158,12%
French Chardonnay - 90-94 Points,delicious ,148,11%
French Chardonnay - 90-94 Points,balanced ,145,11%
French Chardonnay - 90-94 Points,structured ,143,11%
French Chardonnay - 90-94 Points,intense ,139,10%
French Chardonnay - 90-94 Points,steely ,133,10%
French Chardonnay - 90-94 Points,textured ,133,10%
French Chardonnay - 90-94 Points,pear ,131,10%
French Chardonnay - 90-94 Points,young ,128,9%
French Chardonnay - 90-94 Points,concentrated ,116,9%
French Chardonnay - 90-94 Points,good ,116,9%
French Chardonnay - 90-94 Points,ready ,111,8%
French Chardonnay - 90-94 Points,rounded ,110,8%
French Chardonnay - 90-94 Points,peach ,105,8%
French Chardonnay - 90-94 Points,apricot ,104,8%
French Chardonnay - 90-94 Points,fruity ,95,7%
French Chardonnay - 90-94 Points,bright ,95,7%
French Chardonnay - 90-94 Points,soft ,93,7%
French Chardonnay - 90-94 Points,opulent ,92,7%
French Chardonnay - 90-94 Points,potential ,92,7%
French Chardonnay - 90-94 Points,balance ,86,6%
French Chardonnay - 90-94 Points,creamy ,85,6%
French Chardonnay - 90-94 Points,packed ,84,6%
French Chardonnay - 90-94 Points,freshness ,84,6%
French Chardonnay - 90-94 Points,fruitiness ,80,6%
French Chardonnay - 90-94 Points,smooth ,79,6%
French Chardonnay - 90-94 Points,weight ,78,6%
French Chardonnay - 90-94 Points,toasty ,77,6%
French Chardonnay - 90-94 Points,taut ,76,6%
French Chardonnay - 90-94 Points,warm ,75,6%
French Chardonnay - 90-94 Points,lemon ,75,6%
French Chardonnay - 90-94 Points,vanilla ,72,5%
French Chardonnay - 90-94 Points,powerful ,68,5%
French Chardonnay - 90-94 Points,complex ,67,5%
,,,
French Chardonnay - 95-100 Points,ripe ,71,49%
French Chardonnay - 95-100 Points,rich ,59,41%
French Chardonnay - 95-100 Points,structure ,43,30%
French Chardonnay - 95-100 Points,mineral ,40,28%
French Chardonnay - 95-100 Points,great ,40,28%
French Chardonnay - 95-100 Points,intense ,38,26%
French Chardonnay - 95-100 Points,powerful ,38,26%
French Chardonnay - 95-100 Points,tight ,33,23%
French Chardonnay - 95-100 Points,opulent ,33,23%
French Chardonnay - 95-100 Points,richness ,32,22%
French Chardonnay - 95-100 Points,spice ,28,19%
French Chardonnay - 95-100 Points,minerality ,27,19%
French Chardonnay - 95-100 Points,concentrated ,26,18%
French Chardonnay - 95-100 Points,power ,24,17%
French Chardonnay - 95-100 Points,toast ,24,17%
French Chardonnay - 95-100 Points,structured ,23,16%
French Chardonnay - 95-100 Points,citrus ,22,15%
French Chardonnay - 95-100 Points,impressive ,21,14%
French Chardonnay - 95-100 Points,dense ,21,14%
French Chardonnay - 95-100 Points,generous ,20,14%
French Chardonnay - 95-100 Points,full ,20,14%
French Chardonnay - 95-100 Points,green ,18,12%
French Chardonnay - 95-100 Points,crisp ,17,12%
French Chardonnay - 95-100 Points,steely ,16,11%
French Chardonnay - 95-100 Points,young ,15,10%
French Chardonnay - 95-100 Points,layers ,14,10%
French Chardonnay - 95-100 Points,textured ,13,9%
French Chardonnay - 95-100 Points,freshness ,13,9%
French Chardonnay - 95-100 Points,concentration ,13,9%
French Chardonnay - 95-100 Points,potential ,13,9%
French Chardonnay - 95-100 Points,weight ,13,9%
French Chardonnay - 95-100 Points,beautifully ,13,9%
French Chardonnay - 95-100 Points,beautiful ,11,8%
French Chardonnay - 95-100 Points,pure ,10,7%
French Chardonnay - 95-100 Points,packed ,10,7%
French Chardonnay - 95-100 Points,apple ,10,7%
French Chardonnay - 95-100 Points,balance ,10,7%
French Chardonnay - 95-100 Points,taut ,9,6%
French Chardonnay - 95-100 Points,density ,9,6%
French Chardonnay - 95-100 Points,lemon ,9,6%
French Chardonnay - 95-100 Points,balanced ,9,6%
French Chardonnay - 95-100 Points,steel ,8,6%
French Chardonnay - 95-100 Points,apricot ,8,6%
French Chardonnay - 95-100 Points,apples ,8,6%
French Chardonnay - 95-100 Points,delicious ,8,6%
French Chardonnay - 95-100 Points,considerable ,8,6%
French Chardonnay - 95-100 Points,complex ,8,6%
French Chardonnay - 95-100 Points,long ,8,6%
French Chardonnay - 95-100 Points,long-term ,8,6%
French Chardonnay - 95-100 Points,tropical ,8,6%
,,,
Bordeaux Reds - All,ripe ,2198,43%
Bordeaux Reds - All,black ,1731,34%
Bordeaux Reds - All,rich ,1474,29%
Bordeaux Reds - All,firm ,1278,25%
Bordeaux Reds - All,juicy ,1238,24%
Bordeaux Reds - All,structure ,1119,22%
Bordeaux Reds - All,dry ,944,18%
Bordeaux Reds - All,structured ,814,16%
Bordeaux Reds - All,fruity ,810,16%
Bordeaux Reds - All,dense ,807,16%
Bordeaux Reds - All,full ,741,14%
Bordeaux Reds - All,berry ,689,13%
Bordeaux Reds - All,dark ,633,12%
Bordeaux Reds - All,currant ,598,12%
Bordeaux Reds - All,blackberry ,591,12%
Bordeaux Reds - All,ready ,584,11%
Bordeaux Reds - All,balanced ,583,11%
Bordeaux Reds - All,soft ,567,11%
Bordeaux Reds - All,spice ,557,11%
Bordeaux Reds - All,fresh ,556,11%
Bordeaux Reds - All,solid ,539,11%
Bordeaux Reds - All,good ,529,10%
Bordeaux Reds - All,attractive ,521,10%
Bordeaux Reds - All,generous ,488,10%
Bordeaux Reds - All,potential ,480,9%
Bordeaux Reds - All,fruitiness ,477,9%
Bordeaux Reds - All,black-currant ,452,9%
Bordeaux Reds - All,concentrated ,445,9%
Bordeaux Reds - All,smoky ,423,8%
Bordeaux Reds - All,great ,410,8%
Bordeaux Reds - All,tannic ,391,8%
Bordeaux Reds - All,weight ,379,7%
Bordeaux Reds - All,young ,354,7%
Bordeaux Reds - All,balance ,344,7%
Bordeaux Reds - All,richness ,342,7%
Bordeaux Reds - All,light ,340,7%
Bordeaux Reds - All,powerful ,320,6%
Bordeaux Reds - All,perfumed ,304,6%
Bordeaux Reds - All,smooth ,300,6%
Bordeaux Reds - All,plum ,291,6%
Bordeaux Reds - All,spicy ,280,5%
Bordeaux Reds - All,crisp ,261,5%
Bordeaux Reds - All,bright ,260,5%
Bordeaux Reds - All,packed ,259,5%
Bordeaux Reds - All,new ,240,5%
Bordeaux Reds - All,sweet ,228,4%
Bordeaux Reds - All,concentration ,217,4%
Bordeaux Reds - All,delicious ,216,4%
Bordeaux Reds - All,developing ,213,4%
Bordeaux Reds - All,layers ,207,4%
,,,
Bordeaux Reds - 80-84 Points,dry ,133,26%
Bordeaux Reds - 80-84 Points,black ,85,17%
Bordeaux Reds - 80-84 Points,light ,84,17%
Bordeaux Reds - 80-84 Points,soft ,77,15%
Bordeaux Reds - 80-84 Points,firm ,72,14%
Bordeaux Reds - 80-84 Points,juicy ,72,14%
Bordeaux Reds - 80-84 Points,structure ,64,13%
Bordeaux Reds - 80-84 Points,lean ,60,12%
Bordeaux Reds - 80-84 Points,berry ,59,12%
Bordeaux Reds - 80-84 Points,fruity ,58,11%
Bordeaux Reds - 80-84 Points,fresh ,57,11%
Bordeaux Reds - 80-84 Points,currant ,55,11%
Bordeaux Reds - 80-84 Points,bitter ,50,10%
Bordeaux Reds - 80-84 Points,ripe ,49,10%
Bordeaux Reds - 80-84 Points,attractive ,43,8%
Bordeaux Reds - 80-84 Points,stalky ,37,7%
Bordeaux Reds - 80-84 Points,spice ,37,7%
Bordeaux Reds - 80-84 Points,ready ,37,7%
Bordeaux Reds - 80-84 Points,extraction ,35,7%
Bordeaux Reds - 80-84 Points,extracted ,34,7%
Bordeaux Reds - 80-84 Points,tannic ,34,7%
Bordeaux Reds - 80-84 Points,tight ,33,7%
Bordeaux Reds - 80-84 Points,fruitiness ,31,6%
Bordeaux Reds - 80-84 Points,smoky ,31,6%
Bordeaux Reds - 80-84 Points,toast ,30,6%
Bordeaux Reds - 80-84 Points,good ,28,6%
Bordeaux Reds - 80-84 Points,austere ,28,6%
Bordeaux Reds - 80-84 Points,dark ,27,5%
Bordeaux Reds - 80-84 Points,jammy ,26,5%
Bordeaux Reds - 80-84 Points,structured ,26,5%
Bordeaux Reds - 80-84 Points,burnt ,24,5%
Bordeaux Reds - 80-84 Points,balance ,23,5%
Bordeaux Reds - 80-84 Points,crisp ,23,5%
Bordeaux Reds - 80-84 Points,bright ,23,5%
Bordeaux Reds - 80-84 Points,weight ,21,4%
Bordeaux Reds - 80-84 Points,green ,20,4%
Bordeaux Reds - 80-84 Points,young ,19,4%
Bordeaux Reds - 80-84 Points,freshness ,19,4%
Bordeaux Reds - 80-84 Points,dense ,18,4%
Bordeaux Reds - 80-84 Points,earthy ,17,3%
Bordeaux Reds - 80-84 Points,oak ,17,3%
Bordeaux Reds - 80-84 Points,chocolate ,17,3%
Bordeaux Reds - 80-84 Points,unbalanced ,16,3%
Bordeaux Reds - 80-84 Points,tannin ,16,3%
Bordeaux Reds - 80-84 Points,overripe ,15,3%
Bordeaux Reds - 80-84 Points,pepper ,14,3%
Bordeaux Reds - 80-84 Points,future ,14,3%
Bordeaux Reds - 80-84 Points,herbal ,14,3%
Bordeaux Reds - 80-84 Points,simple ,14,3%
Bordeaux Reds - 80-84 Points,spicy ,14,3%
,,,
Bordeaux Reds - 85-89 Points,ripe ,1219,43%
Bordeaux Reds - 85-89 Points,black ,940,33%
Bordeaux Reds - 85-89 Points,juicy ,797,28%
Bordeaux Reds - 85-89 Points,firm ,726,26%
Bordeaux Reds - 85-89 Points,rich ,668,24%
Bordeaux Reds - 85-89 Points,fruity ,588,21%
Bordeaux Reds - 85-89 Points,structure ,585,21%
Bordeaux Reds - 85-89 Points,dry ,579,20%
Bordeaux Reds - 85-89 Points,berry ,430,15%
Bordeaux Reds - 85-89 Points,full ,414,15%
Bordeaux Reds - 85-89 Points,structured ,407,14%
Bordeaux Reds - 85-89 Points,fresh ,407,14%
Bordeaux Reds - 85-89 Points,soft ,405,14%
Bordeaux Reds - 85-89 Points,ready ,401,14%
Bordeaux Reds - 85-89 Points,currant ,396,14%
Bordeaux Reds - 85-89 Points,attractive ,390,14%
Bordeaux Reds - 85-89 Points,dense ,347,12%
Bordeaux Reds - 85-89 Points,blackberry ,334,12%
Bordeaux Reds - 85-89 Points,spice ,329,12%
Bordeaux Reds - 85-89 Points,balanced ,327,12%
Bordeaux Reds - 85-89 Points,fruitiness ,325,11%
Bordeaux Reds - 85-89 Points,good ,302,11%
Bordeaux Reds - 85-89 Points,smoky ,271,10%
Bordeaux Reds - 85-89 Points,solid ,267,9%
Bordeaux Reds - 85-89 Points,black-currant ,262,9%
Bordeaux Reds - 85-89 Points,dark ,251,9%
Bordeaux Reds - 85-89 Points,tannic ,235,8%
Bordeaux Reds - 85-89 Points,light ,234,8%
Bordeaux Reds - 85-89 Points,potential ,231,8%
Bordeaux Reds - 85-89 Points,generous ,225,8%
Bordeaux Reds - 85-89 Points,young ,225,8%
Bordeaux Reds - 85-89 Points,weight ,206,7%
Bordeaux Reds - 85-89 Points,balance ,192,7%
Bordeaux Reds - 85-89 Points,bright ,191,7%
Bordeaux Reds - 85-89 Points,spicy ,183,6%
Bordeaux Reds - 85-89 Points,concentrated ,181,6%
Bordeaux Reds - 85-89 Points,crisp ,179,6%
Bordeaux Reds - 85-89 Points,smooth ,169,6%
Bordeaux Reds - 85-89 Points,richness ,153,5%
Bordeaux Reds - 85-89 Points,plum ,142,5%
Bordeaux Reds - 85-89 Points,developing ,136,5%
Bordeaux Reds - 85-89 Points,perfumed ,133,5%
Bordeaux Reds - 85-89 Points,packed ,127,4%
Bordeaux Reds - 85-89 Points,great ,107,4%
Bordeaux Reds - 85-89 Points,stalky ,105,4%
Bordeaux Reds - 85-89 Points,sweet ,105,4%
Bordeaux Reds - 85-89 Points,new ,102,4%
Bordeaux Reds - 85-89 Points,wait ,102,4%
Bordeaux Reds - 85-89 Points,freshness ,97,3%
Bordeaux Reds - 85-89 Points,powerful ,97,3%
,,,
Bordeaux Reds - 90-94 Points,ripe ,846,53%
Bordeaux Reds - 90-94 Points,rich ,728,46%
Bordeaux Reds - 90-94 Points,black ,620,39%
Bordeaux Reds - 90-94 Points,firm ,441,28%
Bordeaux Reds - 90-94 Points,structure ,395,25%
Bordeaux Reds - 90-94 Points,dense ,375,24%
Bordeaux Reds - 90-94 Points,structured ,345,22%
Bordeaux Reds - 90-94 Points,juicy ,345,22%
Bordeaux Reds - 90-94 Points,full ,295,19%
Bordeaux Reds - 90-94 Points,dark ,291,18%
Bordeaux Reds - 90-94 Points,solid ,236,15%
Bordeaux Reds - 90-94 Points,generous ,235,15%
Bordeaux Reds - 90-94 Points,blackberry ,230,14%
Bordeaux Reds - 90-94 Points,balanced ,225,14%
Bordeaux Reds - 90-94 Points,concentrated ,224,14%
Bordeaux Reds - 90-94 Points,dry ,216,14%
Bordeaux Reds - 90-94 Points,great ,215,14%
Bordeaux Reds - 90-94 Points,potential ,210,13%
Bordeaux Reds - 90-94 Points,good ,190,12%
Bordeaux Reds - 90-94 Points,berry ,187,12%
Bordeaux Reds - 90-94 Points,spice ,179,11%
Bordeaux Reds - 90-94 Points,powerful ,169,11%
Bordeaux Reds - 90-94 Points,black-currant ,160,10%
Bordeaux Reds - 90-94 Points,fruity ,156,10%
Bordeaux Reds - 90-94 Points,richness ,154,10%
Bordeaux Reds - 90-94 Points,weight ,142,9%
Bordeaux Reds - 90-94 Points,perfumed ,133,8%
Bordeaux Reds - 90-94 Points,currant ,133,8%
Bordeaux Reds - 90-94 Points,ready ,130,8%
Bordeaux Reds - 90-94 Points,concentration ,120,8%
Bordeaux Reds - 90-94 Points,balance ,119,7%
Bordeaux Reds - 90-94 Points,plum ,117,7%
Bordeaux Reds - 90-94 Points,new ,115,7%
Bordeaux Reds - 90-94 Points,smooth ,113,7%
Bordeaux Reds - 90-94 Points,fruitiness ,113,7%
Bordeaux Reds - 90-94 Points,smoky ,112,7%
Bordeaux Reds - 90-94 Points,delicious ,109,7%
Bordeaux Reds - 90-94 Points,tannic ,108,7%
Bordeaux Reds - 90-94 Points,packed ,108,7%
Bordeaux Reds - 90-94 Points,young ,105,7%
Bordeaux Reds - 90-94 Points,layers ,102,6%
Bordeaux Reds - 90-94 Points,sweet ,101,6%
Bordeaux Reds - 90-94 Points,impressive ,96,6%
Bordeaux Reds - 90-94 Points,attractive ,86,5%
Bordeaux Reds - 90-94 Points,big ,82,5%
Bordeaux Reds - 90-94 Points,soft ,80,5%
Bordeaux Reds - 90-94 Points,spicy ,79,5%
Bordeaux Reds - 90-94 Points,fresh ,76,5%
Bordeaux Reds - 90-94 Points,future ,74,5%
Bordeaux Reds - 90-94 Points,developing ,72,5%
,,,
Bordeaux Reds - 95-100 Points,black ,86,45%
Bordeaux Reds - 95-100 Points,ripe ,84,44%
Bordeaux Reds - 95-100 Points,great ,80,42%
Bordeaux Reds - 95-100 Points,structure ,75,39%
Bordeaux Reds - 95-100 Points,dense ,67,35%
Bordeaux Reds - 95-100 Points,rich ,65,34%
Bordeaux Reds - 95-100 Points,dark ,64,34%
Bordeaux Reds - 95-100 Points,powerful ,52,27%
Bordeaux Reds - 95-100 Points,firm ,39,20%
Bordeaux Reds - 95-100 Points,concentrated ,36,19%
Bordeaux Reds - 95-100 Points,structured ,36,19%
Bordeaux Reds - 95-100 Points,impressive ,34,18%
Bordeaux Reds - 95-100 Points,richness ,31,16%
Bordeaux Reds - 95-100 Points,power ,31,16%
Bordeaux Reds - 95-100 Points,potential ,31,16%
Bordeaux Reds - 95-100 Points,perfumed ,27,14%
Bordeaux Reds - 95-100 Points,generous ,24,13%
Bordeaux Reds - 95-100 Points,solid ,24,13%
Bordeaux Reds - 95-100 Points,juicy ,24,13%
Bordeaux Reds - 95-100 Points,opulent ,23,12%
Bordeaux Reds - 95-100 Points,balanced ,21,11%
Bordeaux Reds - 95-100 Points,intense ,21,11%
Bordeaux Reds - 95-100 Points,concentration ,20,10%
Bordeaux Reds - 95-100 Points,full ,20,10%
Bordeaux Reds - 95-100 Points,elegant ,19,10%
Bordeaux Reds - 95-100 Points,plum ,19,10%
Bordeaux Reds - 95-100 Points,complex ,19,10%
Bordeaux Reds - 95-100 Points,black-currant ,18,9%
Bordeaux Reds - 95-100 Points,serious ,18,9%
Bordeaux Reds - 95-100 Points,elegance ,17,9%
Bordeaux Reds - 95-100 Points,dry ,16,8%
Bordeaux Reds - 95-100 Points,fresh ,16,8%
Bordeaux Reds - 95-100 Points,blackberry ,16,8%
Bordeaux Reds - 95-100 Points,ready ,16,8%
Bordeaux Reds - 95-100 Points,packed ,16,8%
Bordeaux Reds - 95-100 Points,sweet ,15,8%
Bordeaux Reds - 95-100 Points,tannic ,14,7%
Bordeaux Reds - 95-100 Points,huge ,14,7%
Bordeaux Reds - 95-100 Points,density ,14,7%
Bordeaux Reds - 95-100 Points,beautifully ,14,7%
Bordeaux Reds - 95-100 Points,currant ,14,7%
Bordeaux Reds - 95-100 Points,berry ,13,7%
Bordeaux Reds - 95-100 Points,long ,13,7%
Bordeaux Reds - 95-100 Points,big ,13,7%
Bordeaux Reds - 95-100 Points,long-term ,12,6%
Bordeaux Reds - 95-100 Points,delicious ,12,6%
Bordeaux Reds - 95-100 Points,spice ,12,6%
Bordeaux Reds - 95-100 Points,new ,12,6%
Bordeaux Reds - 95-100 Points,beautiful ,12,6%
Bordeaux Reds - 95-100 Points,top ,11,6%
