Type of Wine,Descriptor ,Descriptor Count,How Often Descriptor Appears
California Chardonnay - 80-84 Points,good ,113,0.09
California Chardonnay - 80-84 Points,creamy ,117,0.1
California Chardonnay - 80-84 Points,apricot ,118,0.1
California Chardonnay - 80-84 Points,peaches ,119,0.1
California Chardonnay - 80-84 Points,crisp ,120,0.1
California Chardonnay - 80-84 Points,soft ,130,0.11
California Chardonnay - 80-84 Points,pear ,137,0.11
California Chardonnay - 80-84 Points,toast ,152,0.12
California Chardonnay - 80-84 Points,ripe ,152,0.12
California Chardonnay - 80-84 Points,apple ,157,0.13
California Chardonnay - 80-84 Points,buttered ,181,0.15
California Chardonnay - 80-84 Points,oaky ,185,0.15
California Chardonnay - 80-84 Points,dry ,193,0.16
California Chardonnay - 80-84 Points,peach ,212,0.17
California Chardonnay - 80-84 Points,vanilla ,248,0.2
California Chardonnay - 80-84 Points,simple ,268,0.22
California Chardonnay - 80-84 Points,pineapple ,334,0.27
California Chardonnay - 80-84 Points,sweet ,353,0.29
California Chardonnay - 80-84 Points,oak ,423,0.34
California Chardonnay - 85-89 Points,brisk ,198,0.05
California Chardonnay - 85-89 Points,buttery ,200,0.05
California Chardonnay - 85-89 Points,fresh ,201,0.05
California Chardonnay - 85-89 Points,pretty ,207,0.05
California Chardonnay - 85-89 Points,richness ,212,0.05
California Chardonnay - 85-89 Points,new ,214,0.05
California Chardonnay - 85-89 Points,cream ,214,0.05
California Chardonnay - 85-89 Points,pears ,224,0.05
California Chardonnay - 85-89 Points,minerality ,225,0.05
California Chardonnay - 85-89 Points,honey ,229,0.05
California Chardonnay - 85-89 Points,apricot ,230,0.05
California Chardonnay - 85-89 Points,fruity ,231,0.05
California Chardonnay - 85-89 Points,butterscotch ,232,0.05
California Chardonnay - 85-89 Points,balanced ,236,0.05
California Chardonnay - 85-89 Points,toasty ,242,0.06
California Chardonnay - 85-89 Points,peaches ,252,0.06
California Chardonnay - 85-89 Points,soft ,256,0.06
California Chardonnay - 85-89 Points,light ,258,0.06
California Chardonnay - 85-89 Points,spice ,269,0.06
California Chardonnay - 85-89 Points,spicy ,279,0.06
California Chardonnay - 85-89 Points,tart ,280,0.06
California Chardonnay - 85-89 Points,nice ,284,0.07
California Chardonnay - 85-89 Points,bright ,297,0.07
California Chardonnay - 85-89 Points,pineapples ,314,0.07
California Chardonnay - 85-89 Points,caramel ,321,0.07
California Chardonnay - 85-89 Points,orange ,322,0.07
California Chardonnay - 85-89 Points,smoky ,329,0.08
California Chardonnay - 85-89 Points,apples ,337,0.08
California Chardonnay - 85-89 Points,clean ,413,0.1
California Chardonnay - 85-89 Points,lime ,449,0.1
California Chardonnay - 85-89 Points,oaky ,476,0.11
California Chardonnay - 85-89 Points,green ,479,0.11
California Chardonnay - 85-89 Points,citrus ,507,0.12
California Chardonnay - 85-89 Points,sweet ,561,0.13
California Chardonnay - 85-89 Points,creamy ,567,0.13
California Chardonnay - 85-89 Points,good ,591,0.14
California Chardonnay - 85-89 Points,dry ,620,0.14
California Chardonnay - 85-89 Points,lemon ,680,0.16
California Chardonnay - 85-89 Points,crisp ,704,0.16
California Chardonnay - 85-89 Points,buttered ,704,0.16
California Chardonnay - 85-89 Points,peach ,709,0.16
California Chardonnay - 85-89 Points,tropical ,742,0.17
California Chardonnay - 85-89 Points,toast ,752,0.17
California Chardonnay - 85-89 Points,rich ,890,0.21
California Chardonnay - 85-89 Points,pineapple ,903,0.21
California Chardonnay - 85-89 Points,pear ,906,0.21
California Chardonnay - 85-89 Points,ripe ,995,0.23
California Chardonnay - 85-89 Points,vanilla ,1083,0.25
California Chardonnay - 85-89 Points,apple ,1181,0.27
California Chardonnay - 85-89 Points,oak ,1843,0.43
California Chardonnay - 90-94 Points,lush ,206,0.05
California Chardonnay - 90-94 Points,pineapples ,206,0.05
California Chardonnay - 90-94 Points,brûlée ,208,0.05
California Chardonnay - 90-94 Points,cream ,210,0.05
California Chardonnay - 90-94 Points,oaky ,213,0.06
California Chardonnay - 90-94 Points,mango ,216,0.06
California Chardonnay - 90-94 Points,delicious ,231,0.06
California Chardonnay - 90-94 Points,clean ,234,0.06
California Chardonnay - 90-94 Points,light ,240,0.06
California Chardonnay - 90-94 Points,great ,244,0.06
California Chardonnay - 90-94 Points,tart ,249,0.06
California Chardonnay - 90-94 Points,spicy ,255,0.07
California Chardonnay - 90-94 Points,sweet ,271,0.07
California Chardonnay - 90-94 Points,apples ,273,0.07
California Chardonnay - 90-94 Points,elegant ,275,0.07
California Chardonnay - 90-94 Points,meyer ,276,0.07
California Chardonnay - 90-94 Points,butter ,278,0.07
California Chardonnay - 90-94 Points,caramel ,279,0.07
California Chardonnay - 90-94 Points,spice ,283,0.07
California Chardonnay - 90-94 Points,smoky ,287,0.07
California Chardonnay - 90-94 Points,new ,288,0.08
California Chardonnay - 90-94 Points,long ,289,0.08
California Chardonnay - 90-94 Points,honey ,291,0.08
California Chardonnay - 90-94 Points,balance ,298,0.08
California Chardonnay - 90-94 Points,good ,300,0.08
California Chardonnay - 90-94 Points,orange ,305,0.08
California Chardonnay - 90-94 Points,fresh ,313,0.08
California Chardonnay - 90-94 Points,richness ,321,0.08
California Chardonnay - 90-94 Points,bright ,402,0.1
California Chardonnay - 90-94 Points,citrus ,408,0.11
California Chardonnay - 90-94 Points,buttered ,437,0.11
California Chardonnay - 90-94 Points,complex ,443,0.12
California Chardonnay - 90-94 Points,balanced ,444,0.12
California Chardonnay - 90-94 Points,dry ,446,0.12
California Chardonnay - 90-94 Points,green ,480,0.13
California Chardonnay - 90-94 Points,minerality ,498,0.13
California Chardonnay - 90-94 Points,creamy ,537,0.14
California Chardonnay - 90-94 Points,toast ,548,0.14
California Chardonnay - 90-94 Points,peach ,557,0.15
California Chardonnay - 90-94 Points,lime ,588,0.15
California Chardonnay - 90-94 Points,tropical ,603,0.16
California Chardonnay - 90-94 Points,crisp ,643,0.17
California Chardonnay - 90-94 Points,pineapple ,682,0.18
California Chardonnay - 90-94 Points,ripe ,747,0.19
California Chardonnay - 90-94 Points,vanilla ,775,0.2
California Chardonnay - 90-94 Points,pear ,882,0.23
California Chardonnay - 90-94 Points,rich ,945,0.25
California Chardonnay - 90-94 Points,lemon ,1048,0.27
California Chardonnay - 90-94 Points,apple ,1174,0.31
California Chardonnay - 90-94 Points,oak ,1611,0.42
California Chardonnay - 95-100 Points,layers ,16,0.07
California Chardonnay - 95-100 Points,clean ,16,0.07
California Chardonnay - 95-100 Points,nutmeg ,16,0.07
California Chardonnay - 95-100 Points,stone ,17,0.08
California Chardonnay - 95-100 Points,citrus ,17,0.08
California Chardonnay - 95-100 Points,minerals ,17,0.08
California Chardonnay - 95-100 Points,pineapples ,17,0.08
California Chardonnay - 95-100 Points,butterscotch ,17,0.08
California Chardonnay - 95-100 Points,salt ,18,0.08
California Chardonnay - 95-100 Points,salty ,18,0.08
California Chardonnay - 95-100 Points,orange ,18,0.08
California Chardonnay - 95-100 Points,golden ,18,0.08
California Chardonnay - 95-100 Points,tart ,19,0.09
California Chardonnay - 95-100 Points,green ,19,0.09
California Chardonnay - 95-100 Points,chardonnays ,19,0.09
California Chardonnay - 95-100 Points,spice ,19,0.09
California Chardonnay - 95-100 Points,cinnamon ,20,0.09
California Chardonnay - 95-100 Points,sea ,20,0.09
California Chardonnay - 95-100 Points,exotic ,20,0.09
California Chardonnay - 95-100 Points,sweet ,20,0.09
California Chardonnay - 95-100 Points,balance ,21,0.1
California Chardonnay - 95-100 Points,meyer ,22,0.1
California Chardonnay - 95-100 Points,smoky ,22,0.1
California Chardonnay - 95-100 Points,fresh ,23,0.11
California Chardonnay - 95-100 Points,great ,23,0.11
California Chardonnay - 95-100 Points,new ,23,0.11
California Chardonnay - 95-100 Points,pie ,23,0.11
California Chardonnay - 95-100 Points,ripe ,24,0.11
California Chardonnay - 95-100 Points,brûlée ,25,0.12
California Chardonnay - 95-100 Points,bright ,26,0.12
California Chardonnay - 95-100 Points,peach ,26,0.12
California Chardonnay - 95-100 Points,crème ,27,0.13
California Chardonnay - 95-100 Points,richness ,29,0.13
California Chardonnay - 95-100 Points,crisp ,29,0.13
California Chardonnay - 95-100 Points,dry ,29,0.13
California Chardonnay - 95-100 Points,vanilla ,32,0.15
California Chardonnay - 95-100 Points,honey ,35,0.16
California Chardonnay - 95-100 Points,balanced ,37,0.17
California Chardonnay - 95-100 Points,lime ,37,0.17
California Chardonnay - 95-100 Points,pineapple ,37,0.17
California Chardonnay - 95-100 Points,tropical ,37,0.17
California Chardonnay - 95-100 Points,buttered ,38,0.18
California Chardonnay - 95-100 Points,complex ,42,0.2
California Chardonnay - 95-100 Points,minerality ,43,0.2
California Chardonnay - 95-100 Points,toast ,47,0.22
California Chardonnay - 95-100 Points,pear ,54,0.25
California Chardonnay - 95-100 Points,rich ,54,0.25
California Chardonnay - 95-100 Points,apple ,56,0.26
California Chardonnay - 95-100 Points,oak ,77,0.36
California Chardonnay - 95-100 Points,lemon ,78,0.36
California Chardonnay - All,elegant ,442,0.05
California Chardonnay - All,toasty ,452,0.05
California Chardonnay - All,butterscotch ,490,0.05
California Chardonnay - All,pears ,494,0.05
California Chardonnay - All,cream ,498,0.05
California Chardonnay - All,long ,504,0.05
California Chardonnay - All,butter ,508,0.05
California Chardonnay - All,soft ,520,0.05
California Chardonnay - All,light ,535,0.06
California Chardonnay - All,peaches ,541,0.06
California Chardonnay - All,apricot ,548,0.06
California Chardonnay - All,fresh ,552,0.06
California Chardonnay - All,balance ,559,0.06
California Chardonnay - All,new ,563,0.06
California Chardonnay - All,richness ,588,0.06
California Chardonnay - All,honey ,595,0.06
California Chardonnay - All,spicy ,603,0.06
California Chardonnay - All,spice ,606,0.06
California Chardonnay - All,tart ,618,0.06
California Chardonnay - All,complex ,630,0.07
California Chardonnay - All,pineapples ,632,0.07
California Chardonnay - All,apples ,674,0.07
California Chardonnay - All,smoky ,699,0.07
California Chardonnay - All,caramel ,708,0.07
California Chardonnay - All,balanced ,735,0.08
California Chardonnay - All,bright ,748,0.08
California Chardonnay - All,clean ,753,0.08
California Chardonnay - All,orange ,754,0.08
California Chardonnay - All,minerality ,783,0.08
California Chardonnay - All,oaky ,881,0.09
California Chardonnay - All,citrus ,1004,0.1
California Chardonnay - All,good ,1014,0.11
California Chardonnay - All,green ,1061,0.11
California Chardonnay - All,lime ,1126,0.12
California Chardonnay - All,sweet ,1205,0.13
California Chardonnay - All,creamy ,1233,0.13
California Chardonnay - All,dry ,1288,0.13
California Chardonnay - All,buttered ,1360,0.14
California Chardonnay - All,tropical ,1494,0.16
California Chardonnay - All,crisp ,1496,0.16
California Chardonnay - All,toast ,1499,0.16
California Chardonnay - All,peach ,1504,0.16
California Chardonnay - All,lemon ,1873,0.19
California Chardonnay - All,ripe ,1918,0.2
California Chardonnay - All,rich ,1938,0.2
California Chardonnay - All,pineapple ,1956,0.2
California Chardonnay - All,pear ,1979,0.21
California Chardonnay - All,vanilla ,2138,0.22
California Chardonnay - All,apple ,2568,0.27
California Chardonnay - All,oak ,3954,0.41
French Chardonnay - 80-84 Points,grapefruit ,8,0.03
French Chardonnay - 80-84 Points,lean ,8,0.03
French Chardonnay - 80-84 Points,caramel ,8,0.03
French Chardonnay - 80-84 Points,mineral ,8,0.03
French Chardonnay - 80-84 Points,heavy ,8,0.03
French Chardonnay - 80-84 Points,tropical ,8,0.03
French Chardonnay - 80-84 Points,warm ,8,0.03
French Chardonnay - 80-84 Points,bitter ,9,0.03
French Chardonnay - 80-84 Points,tart ,9,0.03
French Chardonnay - 80-84 Points,smooth ,9,0.03
French Chardonnay - 80-84 Points,rich ,9,0.03
French Chardonnay - 80-84 Points,lacks ,9,0.03
French Chardonnay - 80-84 Points,fruitiness ,9,0.03
French Chardonnay - 80-84 Points,full ,10,0.04
French Chardonnay - 80-84 Points,apples ,10,0.04
French Chardonnay - 80-84 Points,dilute ,10,0.04
French Chardonnay - 80-84 Points,tight ,10,0.04
French Chardonnay - 80-84 Points,freshness ,10,0.04
French Chardonnay - 80-84 Points,short ,11,0.04
French Chardonnay - 80-84 Points,pleasant ,11,0.04
French Chardonnay - 80-84 Points,oak ,11,0.04
French Chardonnay - 80-84 Points,orange ,11,0.04
French Chardonnay - 80-84 Points,toast ,12,0.04
French Chardonnay - 80-84 Points,sweet ,13,0.05
French Chardonnay - 80-84 Points,easy ,13,0.05
French Chardonnay - 80-84 Points,gentle ,13,0.05
French Chardonnay - 80-84 Points,peach ,15,0.06
French Chardonnay - 80-84 Points,weight ,15,0.06
French Chardonnay - 80-84 Points,melon ,16,0.06
French Chardonnay - 80-84 Points,vanilla ,16,0.06
French Chardonnay - 80-84 Points,creamy ,16,0.06
French Chardonnay - 80-84 Points,rounded ,16,0.06
French Chardonnay - 80-84 Points,bright ,17,0.06
French Chardonnay - 80-84 Points,round ,18,0.07
French Chardonnay - 80-84 Points,clean ,19,0.07
French Chardonnay - 80-84 Points,spice ,22,0.08
French Chardonnay - 80-84 Points,lemon ,26,0.1
French Chardonnay - 80-84 Points,ready ,30,0.11
French Chardonnay - 80-84 Points,simple ,32,0.12
French Chardonnay - 80-84 Points,attractive ,34,0.13
French Chardonnay - 80-84 Points,pear ,35,0.13
French Chardonnay - 80-84 Points,crisp ,38,0.14
French Chardonnay - 80-84 Points,ripe ,39,0.14
French Chardonnay - 80-84 Points,fresh ,41,0.15
French Chardonnay - 80-84 Points,green ,42,0.16
French Chardonnay - 80-84 Points,fruity ,44,0.16
French Chardonnay - 80-84 Points,citrus ,48,0.18
French Chardonnay - 80-84 Points,apple ,69,0.26
French Chardonnay - 80-84 Points,light ,78,0.29
French Chardonnay - 80-84 Points,soft ,103,0.38
French Chardonnay - 85-89 Points,clean ,72,0.04
French Chardonnay - 85-89 Points,lime ,73,0.04
French Chardonnay - 85-89 Points,steely ,75,0.04
French Chardonnay - 85-89 Points,weight ,80,0.05
French Chardonnay - 85-89 Points,balance ,84,0.05
French Chardonnay - 85-89 Points,round ,85,0.05
French Chardonnay - 85-89 Points,young ,85,0.05
French Chardonnay - 85-89 Points,apples ,87,0.05
French Chardonnay - 85-89 Points,great ,91,0.05
French Chardonnay - 85-89 Points,freshness ,92,0.05
French Chardonnay - 85-89 Points,generous ,96,0.06
French Chardonnay - 85-89 Points,toasty ,102,0.06
French Chardonnay - 85-89 Points,fruitiness ,105,0.06
French Chardonnay - 85-89 Points,richness ,106,0.06
French Chardonnay - 85-89 Points,vanilla ,110,0.06
French Chardonnay - 85-89 Points,refreshing ,111,0.07
French Chardonnay - 85-89 Points,structure ,111,0.07
French Chardonnay - 85-89 Points,textured ,115,0.07
French Chardonnay - 85-89 Points,lively ,118,0.07
French Chardonnay - 85-89 Points,apricot ,118,0.07
French Chardonnay - 85-89 Points,tangy ,125,0.07
French Chardonnay - 85-89 Points,delicious ,127,0.07
French Chardonnay - 85-89 Points,warm ,132,0.08
French Chardonnay - 85-89 Points,balanced ,138,0.08
French Chardonnay - 85-89 Points,tight ,146,0.09
French Chardonnay - 85-89 Points,minerality ,150,0.09
French Chardonnay - 85-89 Points,good ,155,0.09
French Chardonnay - 85-89 Points,lemon ,155,0.09
French Chardonnay - 85-89 Points,peach ,160,0.09
French Chardonnay - 85-89 Points,smooth ,165,0.1
French Chardonnay - 85-89 Points,toast ,176,0.1
French Chardonnay - 85-89 Points,rounded ,189,0.11
French Chardonnay - 85-89 Points,spice ,197,0.12
French Chardonnay - 85-89 Points,green ,199,0.12
French Chardonnay - 85-89 Points,creamy ,203,0.12
French Chardonnay - 85-89 Points,bright ,212,0.12
French Chardonnay - 85-89 Points,pear ,242,0.14
French Chardonnay - 85-89 Points,mineral ,248,0.15
French Chardonnay - 85-89 Points,full ,277,0.16
French Chardonnay - 85-89 Points,light ,283,0.17
French Chardonnay - 85-89 Points,attractive ,283,0.17
French Chardonnay - 85-89 Points,fruity ,320,0.19
French Chardonnay - 85-89 Points,ready ,325,0.19
French Chardonnay - 85-89 Points,fresh ,358,0.21
French Chardonnay - 85-89 Points,rich ,362,0.21
French Chardonnay - 85-89 Points,soft ,378,0.22
French Chardonnay - 85-89 Points,citrus ,378,0.22
French Chardonnay - 85-89 Points,apple ,407,0.24
French Chardonnay - 85-89 Points,crisp ,523,0.31
French Chardonnay - 85-89 Points,ripe ,723,0.42
French Chardonnay - 90-94 Points,complex ,67,0.05
French Chardonnay - 90-94 Points,powerful ,68,0.05
French Chardonnay - 90-94 Points,vanilla ,72,0.05
French Chardonnay - 90-94 Points,warm ,75,0.06
French Chardonnay - 90-94 Points,lemon ,75,0.06
French Chardonnay - 90-94 Points,taut ,76,0.06
French Chardonnay - 90-94 Points,toasty ,77,0.06
French Chardonnay - 90-94 Points,weight ,78,0.06
French Chardonnay - 90-94 Points,smooth ,79,0.06
French Chardonnay - 90-94 Points,fruitiness ,80,0.06
French Chardonnay - 90-94 Points,packed ,84,0.06
French Chardonnay - 90-94 Points,freshness ,84,0.06
French Chardonnay - 90-94 Points,creamy ,85,0.06
French Chardonnay - 90-94 Points,balance ,86,0.06
French Chardonnay - 90-94 Points,opulent ,92,0.07
French Chardonnay - 90-94 Points,potential ,92,0.07
French Chardonnay - 90-94 Points,soft ,93,0.07
French Chardonnay - 90-94 Points,fruity ,95,0.07
French Chardonnay - 90-94 Points,bright ,95,0.07
French Chardonnay - 90-94 Points,apricot ,104,0.08
French Chardonnay - 90-94 Points,peach ,105,0.08
French Chardonnay - 90-94 Points,rounded ,110,0.08
French Chardonnay - 90-94 Points,ready ,111,0.08
French Chardonnay - 90-94 Points,concentrated ,116,0.09
French Chardonnay - 90-94 Points,good ,116,0.09
French Chardonnay - 90-94 Points,young ,128,0.09
French Chardonnay - 90-94 Points,pear ,131,0.1
French Chardonnay - 90-94 Points,steely ,133,0.1
French Chardonnay - 90-94 Points,textured ,133,0.1
French Chardonnay - 90-94 Points,intense ,139,0.1
French Chardonnay - 90-94 Points,structured ,143,0.11
French Chardonnay - 90-94 Points,balanced ,145,0.11
French Chardonnay - 90-94 Points,delicious ,148,0.11
French Chardonnay - 90-94 Points,fresh ,158,0.12
French Chardonnay - 90-94 Points,generous ,165,0.12
French Chardonnay - 90-94 Points,green ,167,0.12
French Chardonnay - 90-94 Points,great ,173,0.13
French Chardonnay - 90-94 Points,apple ,197,0.15
French Chardonnay - 90-94 Points,richness ,203,0.15
French Chardonnay - 90-94 Points,structure ,203,0.15
French Chardonnay - 90-94 Points,minerality ,211,0.16
French Chardonnay - 90-94 Points,tight ,234,0.17
French Chardonnay - 90-94 Points,citrus ,246,0.18
French Chardonnay - 90-94 Points,spice ,248,0.18
French Chardonnay - 90-94 Points,toast ,267,0.2
French Chardonnay - 90-94 Points,full ,287,0.21
French Chardonnay - 90-94 Points,mineral ,302,0.22
French Chardonnay - 90-94 Points,crisp ,308,0.23
French Chardonnay - 90-94 Points,rich ,543,0.4
French Chardonnay - 90-94 Points,ripe ,689,0.51
French Chardonnay - 95-100 Points,steel ,8,0.06
French Chardonnay - 95-100 Points,apricot ,8,0.06
French Chardonnay - 95-100 Points,apples ,8,0.06
French Chardonnay - 95-100 Points,delicious ,8,0.06
French Chardonnay - 95-100 Points,considerable ,8,0.06
French Chardonnay - 95-100 Points,complex ,8,0.06
French Chardonnay - 95-100 Points,long ,8,0.06
French Chardonnay - 95-100 Points,long-term ,8,0.06
French Chardonnay - 95-100 Points,tropical ,8,0.06
French Chardonnay - 95-100 Points,taut ,9,0.06
French Chardonnay - 95-100 Points,density ,9,0.06
French Chardonnay - 95-100 Points,lemon ,9,0.06
French Chardonnay - 95-100 Points,balanced ,9,0.06
French Chardonnay - 95-100 Points,pure ,10,0.07
French Chardonnay - 95-100 Points,packed ,10,0.07
French Chardonnay - 95-100 Points,apple ,10,0.07
French Chardonnay - 95-100 Points,balance ,10,0.07
French Chardonnay - 95-100 Points,beautiful ,11,0.08
French Chardonnay - 95-100 Points,textured ,13,0.09
French Chardonnay - 95-100 Points,freshness ,13,0.09
French Chardonnay - 95-100 Points,concentration ,13,0.09
French Chardonnay - 95-100 Points,potential ,13,0.09
French Chardonnay - 95-100 Points,weight ,13,0.09
French Chardonnay - 95-100 Points,beautifully ,13,0.09
French Chardonnay - 95-100 Points,layers ,14,0.1
French Chardonnay - 95-100 Points,young ,15,0.1
French Chardonnay - 95-100 Points,steely ,16,0.11
French Chardonnay - 95-100 Points,crisp ,17,0.12
French Chardonnay - 95-100 Points,green ,18,0.12
French Chardonnay - 95-100 Points,generous ,20,0.14
French Chardonnay - 95-100 Points,full ,20,0.14
French Chardonnay - 95-100 Points,impressive ,21,0.14
French Chardonnay - 95-100 Points,dense ,21,0.14
French Chardonnay - 95-100 Points,citrus ,22,0.15
French Chardonnay - 95-100 Points,structured ,23,0.16
French Chardonnay - 95-100 Points,power ,24,0.17
French Chardonnay - 95-100 Points,toast ,24,0.17
French Chardonnay - 95-100 Points,concentrated ,26,0.18
French Chardonnay - 95-100 Points,minerality ,27,0.19
French Chardonnay - 95-100 Points,spice ,28,0.19
French Chardonnay - 95-100 Points,richness ,32,0.22
French Chardonnay - 95-100 Points,tight ,33,0.23
French Chardonnay - 95-100 Points,opulent ,33,0.23
French Chardonnay - 95-100 Points,intense ,38,0.26
French Chardonnay - 95-100 Points,powerful ,38,0.26
French Chardonnay - 95-100 Points,mineral ,40,0.28
French Chardonnay - 95-100 Points,great ,40,0.28
French Chardonnay - 95-100 Points,structure ,43,0.3
French Chardonnay - 95-100 Points,rich ,59,0.41
French Chardonnay - 95-100 Points,ripe ,71,0.49
French Chardonnay - All,round ,154,0.04
French Chardonnay - All,apples ,163,0.05
French Chardonnay - All,concentrated ,167,0.05
French Chardonnay - All,balance ,182,0.05
French Chardonnay - All,lively ,184,0.05
French Chardonnay - All,weight ,186,0.05
French Chardonnay - All,toasty ,189,0.05
French Chardonnay - All,tangy ,197,0.06
French Chardonnay - All,fruitiness ,198,0.06
French Chardonnay - All,freshness ,199,0.06
French Chardonnay - All,vanilla ,201,0.06
French Chardonnay - All,structured ,217,0.06
French Chardonnay - All,warm ,219,0.06
French Chardonnay - All,intense ,220,0.06
French Chardonnay - All,steely ,226,0.07
French Chardonnay - All,young ,230,0.07
French Chardonnay - All,apricot ,236,0.07
French Chardonnay - All,smooth ,257,0.07
French Chardonnay - All,lemon ,265,0.08
French Chardonnay - All,textured ,266,0.08
French Chardonnay - All,good ,283,0.08
French Chardonnay - All,delicious ,283,0.08
French Chardonnay - All,peach ,285,0.08
French Chardonnay - All,generous ,285,0.08
French Chardonnay - All,balanced ,299,0.09
French Chardonnay - All,creamy ,308,0.09
French Chardonnay - All,great ,310,0.09
French Chardonnay - All,rounded ,320,0.09
French Chardonnay - All,bright ,328,0.09
French Chardonnay - All,richness ,346,0.1
French Chardonnay - All,structure ,361,0.1
French Chardonnay - All,attractive ,369,0.11
French Chardonnay - All,minerality ,393,0.11
French Chardonnay - All,light ,409,0.12
French Chardonnay - All,pear ,415,0.12
French Chardonnay - All,tight ,423,0.12
French Chardonnay - All,green ,426,0.12
French Chardonnay - All,fruity ,462,0.13
French Chardonnay - All,ready ,470,0.14
French Chardonnay - All,toast ,479,0.14
French Chardonnay - All,spice ,495,0.14
French Chardonnay - All,fresh ,564,0.16
French Chardonnay - All,soft ,575,0.17
French Chardonnay - All,full ,594,0.17
French Chardonnay - All,mineral ,598,0.17
French Chardonnay - All,apple ,683,0.2
French Chardonnay - All,citrus ,694,0.2
French Chardonnay - All,crisp ,886,0.25
French Chardonnay - All,rich ,973,0.28
French Chardonnay - All,ripe ,1522,0.44
